Unique ID,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,Innodata,DCL,2020, 2021, 2022, 2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type
001496,US Federal,United States,United States of America,Consumer Financial Protection Bureau,English,CFPB Supervisory Highlights,http://www.consumerfinance.gov/policy-compliance/guidance/supervisory-highlights/,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001497,US Federal,United States,United States of America,Department of Homeland Security (DHS),English,USCIS News Alerts,http://www.uscis.gov/news/alerts,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (news item),,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001498,US Federal,United States,United States of America,Department of Homeland Security (DHS),English,USCIS What's New,https://www.uscis.gov/i-9-central/whats-new,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (Press Release),,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001499,US Federal,United States,United States of America,Department of Homeland Security (DHS),English,USCIS News Releases,https://www.uscis.gov/news-releases,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (Press Release),,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001500,US Federal,United States,United States of America,Department of Justice (DOJ),English,DOJ Enforcement Actions,https://www.justice.gov/crt/housing-and-civil-enforcement-section,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001501,US Federal,United States,United States of America,U.S. Department of Treasury,English,HAMP Servicer Updates/Directives,https://www.hmpadmin.com/portal/programs/guidance.jsp,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,Monthly,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001502,US Federal,United States,United States of America,Equal Employment Opportunity Commission,English,EEOC Guidance -- Compliance,https://www.eeoc.gov/laws/guidance/compliance.cfm,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001503,US Federal,United States,United States of America,Equal Employment Opportunity Commission,English,EEOC Guidance -- Enforcement,https://www.eeoc.gov/laws/guidance/enforcement_guidance.cfm,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001555,US Federal,United States,United States of America,Alternative Reference Rates Committee (ARRC): convened by the Federal Reserve Board and the Federal Reserve Bank of New York,English,ARRC Announcements,https://www.newyorkfed.org/arrc/announcements,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Announcement),,,whole document level,,checked,,,P3,,,,,,,
001558,US Federal,United States,United States of America,Freddie Mac,English,Freddie Mac Single Family News & Updates on Uniform Instruments,https://sf.freddiemac.com/tools-learning/uniform-instruments/news-updates,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001559,US Federal,United States,United States of America,Ginnie Mae,English,Ginnie Mae Bulletins,https://www.ginniemae.gov/investors/disclosures_and_reports/Pages/bulletins.aspx,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (Bulletin),,,whole document level,,checked,,,P3,,,,,,,
001560,US Federal,United States,United States of America,Ginnie Mae,English,Ginnie Mae In Brief,https://www.ginniemae.gov/newsroom/GinnieInBrief/Pages/default.aspx,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,checked,,,P3,,,,,,,
001561,US Federal,United States,United States of America,Federal Communications Commission,English,FCC Economics & Analytics,https://www.fcc.gov/economics-and-analytics,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (links),,,whole document level,,checked,,,P3,,,,,,,
001562,US Federal,United States,United States of America,(HUD) Federal Housing Administration,English,HUD Announcements,https://www.hud.gov/program_offices/housing/sfh/FHA_info_messages,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document,,,whole document level,,checked,,,P3,,,,,,,
001563,US Federal,United States,United States of America,Federal Home Loan Bank,English,FHLB Announcements/Marketing Bulletins,https://www.fhlbmpf.com/mpf-guides/mpf-communication/Index/?pg=1&nt=&pt,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,checked,,,P3,,,,,,,
001566,US Federal,United States,United States of America,Department of Housing and Urban Development (HUD),English,What’s New on HUDCLIPS,https://www.hud.gov/program_offices/administration/hudclips/whatsnew,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document (Press Release),,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
001567,US Federal,United States,United States of America,Department of Housing and Urban Development (HUD),English,"Notices, Rules and Regulations - Public and Indian Housing ",https://www.hud.gov/program_offices/public_indian_housing/publications/notices,4,checked,,,2021-09-22 00:00,,,Proposed/Monitoring,,checked,,,1/1/2021,N,whole document,,,whole document level,,,checked,,P2,,,,,,,ADMINISTRATIVE_GUIDANCE
