"id","state","statecode","county","issuance_type","leg_type","leg_subtype","leg_subsubtype","leg_date","citation_form","citation_example","fullfilename"
"71","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","SB-213","2017-02-20","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_SB-213/2017-02-20/US-GA-GaBills-c7ac8c30-faf4-11ea-a731-02704a55bfc4.xml"
"72","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-299","2003-03-24","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-299/2003-03-24/US-GA-GaBills-b5e4e437-b3a9-4a42-93c4-dacba9485c63.xml"
"73","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-133","2003-02-11","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-133/2003-02-11/US-GA-GaBills-97dd3308-fb91-11ea-b1c1-06cc42c77c8c.xml"
"74","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-152","2001-01-11","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-152/2001-01-11/US-GA-GaBills-663a0483-2915-47db-b0f1-15b30ee48162.xml"
"75","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HR-278","2007-02-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HR-278/2007-02-15/US-GA-GaBills-692c93ff-7a09-4483-974a-f6eac7968206.xml"
"76","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-1209","2010-02-16","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-1209/2010-02-16/US-GA-GaBills-74b919e2-fb85-11ea-ae80-0689acfb9e08.xml"
"77","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-19","2010-11-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-19/2010-11-15/US-GA-GaBills-3ffda662-04fd-11eb-ac22-0262fece45de.xml"
"78","GEORGIA","GA","","GABILLS BDFA","GEORGIA_BILLS","SESSION-2005-2006","SB-465","2006-04-14","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-465/2006-04-14/US-GA-GaBills-f3a00dd1-b191-4969-bdfa-5ba6cb473dd8.xml"
"79","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-737","2016-05-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-737/2016-05-03/US-GA-GaBills-f12c1ba8-fac1-11ea-9087-026986fb21f6.xml"
"80","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-1028","2008-01-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-1028/2008-01-28/US-GA-GaBills-981d1057-9568-40b3-88d0-7a4370f2a69b.xml"
"81","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","SB-640","2006-03-02","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-640/2006-03-02/US-GA-GaBills-bcae615d-3ef1-4349-b8a2-e55db0ed85a5.xml"
"82","GEORGIA","GA","","GABILLS BCCA","GEORGIA_BILLS","SESSION-2007-2008","HB-420","2007-02-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-420/2007-02-13/US-GA-GaBills-269b17b4-e0d0-4640-bcca-8c7899d2540e.xml"
"83","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-127","2009-02-06","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-127/2009-02-06/US-GA-GaBills-36ed50da-0517-11eb-8591-0234ea2d251a.xml"
"84","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","SB-475","2008-02-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_SB-475/2008-02-15/US-GA-GaBills-519b9f47-6dac-4c81-9807-a4a643176df6.xml"
"85","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-750","2014-04-21","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-750/2014-04-21/US-GA-GaBills-562bcf66-fab4-11ea-b5d7-02f43b61c75a.xml"
"86","GEORGIA","GA","","GABILLS CFFC","GEORGIA_BILLS","SESSION-2005-2006","SB-558","2006-02-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-558/2006-02-15/US-GA-GaBills-e68b6f94-cffc-42f9-a07a-1818d2dfdc9c.xml"
"87","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HR-435","2001-03-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HR-435/2001-03-01/US-GA-GaBills-2f0b4ed9-b912-4f67-9f18-898ec44897f1.xml"
"88","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-950","2012-02-08","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-950/2012-02-08/US-GA-GaBills-7fd078a2-fb8c-11ea-adb6-066380f4e01c.xml"
"89","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-233","2015-05-06","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-233/2015-05-06/US-GA-GaBills-dd57bec3-52e8-49dc-8701-99dfbf931f1b.xml"
"90","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HR-903","2005-03-31","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HR-903/2005-03-31/US-GA-GaBills-7eebf905-5b67-4bb0-8bcf-cb0bb7edde97.xml"
